# Free and low-cost legal help (legal) and getting a City ID (ids) in Detroit, Dearborn, Hamtramck and Highland Park.
# Source notes: docs/research/2026-09-19-new-help/legal-and-id.md. Every page was read on 2026-09-19.
# Facts come only from each owner's own page. The phone digits and the street number are both on the source_url page; phone-only rows need only the phone.
# Birth certificates: the Detroit Health Department does NOT issue them (its Vital Records Division closed in December 2013). The Wayne County Clerk does, but its site refused our script, so that row is held for a person.
# Per-row notes for a steward:
# - Lakeshore Legal Aid, Dearborn: the only walk-in legal office found in our four cities. It also takes housing cases (eviction); consider showing it on the rent screen too.
# - Lakeshore Legal Aid, Canfield: the Find Legal Help page says "most offices are open for walk-ins", but this office's own note says no walk-ins; we followed the office note (appointment only).
# - Neighborhood Legal Services Michigan: on its contact page the tel: links are swapped (the visible 313-964-1975 links to 313-937-8291). We used the visible text. The Elder Law & Advocacy Center office is in Redford (outside our cities), so it is phone-only.
# - Michigan Immigrant Rights Center: the page gives three different hour statements; the schedule is the line hours as written, so the row stays "call first".
# - International Institute: NOT free. The first consultation costs $50 (said in "what"). 313-871-8600 ext. 234 is the legal appointments extension, not a person's line.
# - Freedom House Detroit: phone only, no address, on purpose. The owner publishes only a PO box; the street address on the federal (EOIR) roster must never be used (shelter rule). Services are "affordable", not stated as free.
# - Friend of the Court: source is the court's own PDF (3CC-FOC-4247PW, dated 7/1/2026) because 3rdcc.org pages are a script shell. If check:sources cannot read a PDF, a person must check it by eye.
# - Detroit ID: the fee is not on the program page (a 2024 City release says $10; older aggregator text says $25), so no price is shown. detroitmi.gov answered 200 today but may serve a bot challenge; if so, needs a person's browser check.
# - Detroit ID at Patton: a different organization's service in the same building as sal_detroit_parks_patton_community_center.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url | extras
Dearborn office | Lakeshore Legal Aid | legal | Free help from a lawyer with housing, family, debt, benefits, wills, clearing a record, and getting a license back. | 3200 Greenfield Road, Suite 130 | Dearborn | 48120 | 313-314-1500 | https://lakeshorelegalaid.org/ | Mon-Thu 8:30am-4:30pm | People with low income, older adults, and survivors of domestic violence or sexual assault. | https://lakeshorelegalaid.org/about-us/ | flags=walk_in,seniors; phone_label=Dearborn office; phone2=888-783-8190; phone2_label=New clients (Counsel and Advocacy Law Line)
Detroit Canfield office | Lakeshore Legal Aid | legal | Free help from a lawyer with housing, family, debt, benefits and more. No walk-ins right now. Call for an appointment. | 30 E. Canfield, Suite 200 | Detroit | 48201 | 313-242-0811 | https://lakeshorelegalaid.org/ | not stated | People with low income, older adults, and survivors of domestic violence or sexual assault. | https://lakeshorelegalaid.org/about-us/ | flags=appointment_required,seniors; phone_label=Office, for appointments
Free legal help by phone (CALL line) | Lakeshore Legal Aid | legal | Free legal advice by phone. They also check if you can get a free lawyer. You can also apply online. |  |  |  | 888-783-8190 | https://lakeshorelegalaid.org/ | Mon, Tue, Thu 9am-5pm; Wed 9am-6pm; Fri 9am-1pm | People with low income and seniors. | https://lakeshorelegalaid.org/find-legal-help/ | flags=seniors; phone_label=Counsel and Advocacy Law Line
36th District Court Legal Self-Help Center | Michigan Legal Help | legal | Free help finding court forms for tickets, small claims and landlord cases. Staff explain steps but can't give legal advice. | 421 Madison Street, Room 2E | Detroit | 48226 | 313-965-4158 | https://michiganlegalhelp.org/ | Mon-Fri 8am-4:30pm |  | https://michiganlegalhelp.org/self-help-centers/36th-district-court-legal-self-help-center | flags=walk_in
MiSide Legal Self-Help Center | Michigan Legal Help | legal | Free help with legal forms, in English and Spanish. Help is mostly by phone, with some in-person visits by appointment. | 5716 Michigan Ave, Suite 4100 | Detroit | 48210 | 313-297-2975 | https://michiganlegalhelp.org/ | Mon and Wed 9am-3pm; mostly by phone for the time being, with some in-person appointments |  | https://michiganlegalhelp.org/self-help-centers/miside-legal-self-help-center | flags=spanish; phone_label=Help and appointments
Main office | Neighborhood Legal Services Michigan | legal | Free or low-cost help from a lawyer with family problems, benefits, SSI and SSDI, and bankruptcy. | 7310 Woodward Avenue, Suite 301 | Detroit | 48202 | 313-964-1975 | https://nlsmichigan.org/ | not stated | Low income. | https://nlsmichigan.org/contact-us/ | flags=sliding_fee
Elder Law & Advocacy Center | Neighborhood Legal Services Michigan | legal | Free help from a lawyer for Wayne County residents 60 and older. Call for help. |  |  |  | 313-937-8291 | https://nlsmichigan.org/ | not stated | Wayne County residents 60 and older. | https://nlsmichigan.org/contact-us/ | flags=seniors
Detroit office | Michigan Immigrant Rights Center | legal | Free help from a lawyer about immigration and citizenship. Call to start; phone intake is Monday to Thursday. | 7700 Second Avenue, Suite 603 | Detroit | 48202 | 734-239-6863 | https://michiganimmigrant.org/ | Phone line Mon-Fri 9:30am-4:30pm; phone intake Mon-Thu | Mostly for people with income up to 2 times the poverty line. Some help, like citizenship, is for anyone. | https://michiganimmigrant.org/contact-info | flags=immigrants; phone_label=Intake line (press 1); phone2=734-794-9963; phone2_label=For people held in immigration detention
Immigration legal services | International Institute of Metropolitan Detroit | legal | Low-cost help with citizenship, family papers and DACA renewal. The first visit costs $50. No walk-ins. | 111 E Kirby St | Detroit | 48202 | 313-871-8600 | https://www.iimd.org/ | not stated |  | https://www.iimd.org/immigration-legal-services | flags=immigrants,appointment_required; phone_label=Ext. 234 for legal appointments
Help for people seeking asylum | Freedom House Detroit | legal | A place to stay and legal help for people seeking asylum. Call, or come to the intake site any time. |  |  |  | 313-964-4320 | https://freedomhousedetroit.org/ | Intake any time, day or night | People seeking asylum. In most cases you must live at Freedom House to get legal help. | https://freedomhousedetroit.org/need-help/ | flags=immigrants
Friend of the Court customer service | Wayne County Friend of the Court | legal | Help with child support and parenting time cases already in court. Walk in Monday, Tuesday or Thursday. | 645 Griswold St., 1st Floor | Detroit | 48226 | 844-785-7593 | https://www.3rdcc.org/ | Mon, Tue, Thu 8:30am-4:30pm | People with a Wayne County Friend of the Court case. Be in line by 4:15pm. | https://www.3rdcc.org/Forms/FOC/Miscellaneous/FOC%20Public%20Information%20Packet.pdf | flags=walk_in; phone_label=Friend of the Court Call Center
