# Child care and free preschool (Kyle, 2026-09-23: "child care is one for sure"). New slug kids.prek: FREE Head Start,
# Early Head Start and GSRP pre-K; kids.care stays for child care itself. Pages read 2026-09-23 with the pipeline's own
# user agent. Every fact comes from the owner's page on the line. Directories (search results, findhelp, MHSA) only found
# candidates. No staff names.
# Notes for the steward:
# - Starfish: the locations page gives each center's phone; 'free (must be income eligible) ... ages 6 weeks to 4 years' is
#   on https://www.starfishfamilyservices.org/programs/early-childhood-education/. Central and Fort Street are left out
#   ('MOVING TO BEATRICE ECE CENTER FALL 2026'); Beatrice is left out until it says it is open.
# - Matrix: one enrollment line (313) 285-1905 for every center, as the owner prints it; eligibility and meals are on
#   https://matrixheadstart.org/faq/. The classroom hours (8am-3pm full day) are left out: they are class times, not when
#   a family can call or walk in.
# - MiSide (formerly Development Centers): develctrs.org still prints (313) 977-9550 and (313) 246-6060 for the same two
#   centers; miside.org (c) 2026 prints (313) 504-4076 and (313) 591-4179. We use MiSide's. One call confirms.
# - New St. Paul Head Start (nspheadstart.org) answers 403 to scripts: held for a person with a browser.
# - Hamtramck and DPSCD pre-K are online sign-ups with no single door: link-outs, not listings.
Head Start and preschool at Starfish Cecil | Starfish Family Services | kids.prek | Free child care and preschool for babies to age 4 if your family's income qualifies. Help for pregnant moms too. | 5716 Cecil Ave. | Detroit | 48210 | (313) 359-8315 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Babies from 6 weeks to 4 years. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line; flags=pregnant
Head Start and preschool at Starfish Covenant | Starfish Family Services | kids.prek | Free child care and preschool for babies to age 4 if your family's income qualifies. Help for pregnant moms too. | 1450 25th St. | Detroit | 48216 | (313) 359-8260 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Babies from 6 weeks to 4 years. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line; flags=pregnant
Head Start and preschool at Starfish Hartford | Starfish Family Services | kids.prek | Free child care and preschool for babies to age 4 if your family's income qualifies. Help for pregnant moms too. | 13735 W. Seven Mile Rd. | Detroit | 48235 | (313) 918-4609 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Babies from 6 weeks to 4 years. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line; flags=pregnant
Head Start and preschool at Starfish Marygrove | Starfish Family Services | kids.prek | Free child care and preschool for babies to age 4 if your family's income qualifies. Help for pregnant moms too. | 8251 W. McNichols Rd. | Detroit | 48221 | (313) 651-8500 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Babies from 6 weeks to 4 years. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line; flags=pregnant
Head Start and preschool at Starfish Salvation Army | Starfish Family Services | kids.prek | Free child care and preschool for babies to age 4 if your family's income qualifies. Help for pregnant moms too. | 3737 Humboldt St. | Detroit | 48208 | (313) 379-0030 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Babies from 6 weeks to 4 years. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line; flags=pregnant
Head Start and preschool at Starfish St. Suzanne | Starfish Family Services | kids.prek | Free child care and preschool for babies to age 4 if your family's income qualifies. Help for pregnant moms too. | 19321 W. Chicago | Detroit | 48228 | (313) 359-8470 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Babies from 6 weeks to 4 years. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line; flags=pregnant
Head Start at Care Village | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 11148 Harper | Detroit | 48213 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Cecil | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 5690 Cecil | Detroit | 48210 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Eastlake | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 1021 Clairpointe | Detroit | 48215 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Eternal Rock | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 4300 Lonyo | Detroit | 48210 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Fiore | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 3950 Toledo | Detroit | 48216 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
