# Backlog: held rows from data/seed/to-verify.csv worked on 2026-09-20 (research lane: the 288 held listings).
# Every fact below was read on the organisation's OWN page today, through honest WebFetch requests. No aggregator,
# no Facebook, no directory. No staff names, emails or direct lines were recorded, even where a page prints them
# (SER ReBuild, Goodwill clubhouse, St. Mary of Redford). No hours were guessed: where an owner's own pages still
# disagree, the line carries the text as written so the app says "call first", or the row was left held.
# Notes: docs/research/2026-09-20/backlog.md. Each line carries the to-verify row it clears.
#
# FOR THE INTEGRATOR — read before running check:sources:
# - sermetro.org refuses the pipeline's fetcher but answers an honest WebFetch. Per docs/OPERATIONS.md ("Rows whose
#   site blocks scripts: read the page in a browser, then set status=active, entry_method=web"), the four SER lines
#   below will NOT auto-promote. A steward should open each source_url once and set entry_method=web.
# - The Michigan Legal Help line has NO phone: its own page prints none. check-sources allows a phone-less row when
#   the house number is on the page ("2 Woodward Ave" is). If a steward would rather not publish a door with no
#   number, drop that line.
# - ZIP is left BLANK on two SER lines because SER's own pages print conflicting ZIPs for the same street (5555
#   Conner as 48215 and 48205; 15491 Maddelein as 48216 and 48205). Geocoding should fill them; do not guess.
# - Where two of an owner's own pages print different numbers for the same door, the line uses the number printed on
#   the page named in source_url, so the entry check reads the number it is citing. The other number is noted here.
#
# --- Housing ---------------------------------------------------------------------------------------------------
# clears to-verify: "United Community Housing Coalition: eviction defense, 300 River Place Dr, Suite 1200".
# The hours were not a contradiction: the contact page prints office hours (to 5:00pm) and the home page prints the
# hours to CALL for an appointment (to 4:30pm). Since the office is closed to walk-ins, the line publishes the phone
# hours and says so in `notice`. Both hotline numbers and the address are on the contact page.
Eviction Defense Helpline | United Community Housing Coalition | housing.rent | Free help if your landlord is putting you out: your rights, and a lawyer for landlord-tenant court. Call for an appointment. The office is closed to walk-ins. | 300 River Place Dr, Suite 1200 | Detroit | 48207 | 313-725-4646 | https://www.uchcdetroit.org | Mon-Fri 8:30am-4:30pm | People with low income in Detroit. Free. | https://www.uchcdetroit.org/contact-us | phone_label=Eviction Defense Helpline; phone2=313-963-3310; phone2_label=Main office; flags=appointment_required; notice=These are the hours their home page gives for calling. Their contact page gives office hours to 5:00pm.
# clears to-verify: "United Community Housing Coalition: tax foreclosure prevention".
Tax Foreclosure Helpline | United Community Housing Coalition | housing.owner | Free help for homeowners behind on property taxes, to keep the house. Call for an appointment. The office is closed to walk-ins. | 300 River Place Dr, Suite 1200 | Detroit | 48207 | 313-725-4560 | https://www.uchcdetroit.org | Mon-Fri 8:30am-4:30pm | Homeowners with low income. Free. | https://www.uchcdetroit.org/contact-us | phone_label=Tax Foreclosure Helpline; phone2=313-963-3310; phone2_label=Main office; flags=appointment_required; notice=These are the hours their home page gives for calling. Their contact page gives office hours to 5:00pm.
# clears to-verify: "Dearborn Housing Commission (Townsend Towers, Kennedy Plaza, Sisson Manor)". The page now
# prints a phone (311 or 313-943-2150), the office address and hours, and gives all three buildings ZIP 48126,
# which settles the 48124/48126 question.
Dearborn Housing Commission | City of Dearborn | housing.rent | Low-rent apartments for seniors and people with disabilities at Townsend Towers (7000 Freda St), Kennedy Plaza (5111 Bingham St) and Sisson Manor (1515 Mason St). Call the office to ask how to apply. | 16901 Michigan Ave | Dearborn | 48126 | 313-943-2150 | https://dearborn.gov | Mon-Fri 8am-5pm | Mostly seniors and people with disabilities. Rent is set by income under HUD rules. | https://dearborn.gov/dearbornhousing | phone_label=Dearborn Administrative Center; flags=seniors,disability
# clears to-verify: "Legal Aid and Defender Association: civil housing and veterans legal help". The 613 Abbott St
# address on the same page is labelled as the parking lot; the office is 7650 Second Ave.
Free lawyer for housing problems | Legal Aid and Defender Association | legal | Free legal help with eviction, landlord problems, mortgage or tax foreclosure, Section 8 and land contracts, for people who qualify. | 7650 Second Ave, Ste 120 | Detroit | 48202 | 313-967-5800 | https://ladadetroit.org | not stated | Free for people who qualify. Call, or fill in the intake form on their website. | https://ladadetroit.org/services/ | phone_label=For legal help; phone2=313-967-5635; phone2_label=Veterans legal help; flags=veterans
# clears to-verify: "Hamtramck H.E.A.R.T. poverty exemption, 3401 Evaline St". The assessor's own page states no
# income figure, so the contradiction inside the 2026 packet does not reach the listing.
