# Hospital emergency rooms and urgent care / walk-in clinics in Detroit, Hamtramck, Highland Park and Dearborn.
# Pages read 2026-09-20. Every fact on every line comes only from the owner's own page (the source_url on that line).
# Yelp, Solv, Zocdoc, Healthgrades, urgentcarelocations.org and the Wayne State Campus Health Center referral list were
# used ONLY to find candidates; nothing from them is on a line. No staff names, emails or direct lines.
# Research note: docs/research/2026-09-20/er-urgent-care.md.
#
# THESE LINES USE TWO CATEGORY IDS THAT DO NOT EXIST YET: `health.er` and `health.urgent`.
# `pnpm import:lines` does not validate the category, so the rows import, but nothing will show them until the
# taxonomy owner adds the ids (proposal and the files that need them are in the research note). Do not change these
# lines to `health.clinic`: `health.clinic` means "free or low-cost clinic", and none of these places say that.
#
# Notes for the steward:
# - ER hours say "24 hours" only where the owner's page prints it. All five do.
# - Henry Ford Medical Center - Fairlane (Dearborn) has its own 24-hour emergency room; its page prints a separate
#   emergency phone. The rest of that building is a clinic, not on this list.
# - Henry Ford St. John has an adult ER and a separate children's ER on the same campus and the same main number.
#   They are two lines because a parent looking for a children's ER should see one.
# - Cost: no line says "free". Where a page prints a price or a word about people with no insurance, the line quotes it.
# - Held, not listed here: all four DMC hospitals, Children's Hospital of Michigan, the John D. Dingell VA Medical
#   Center, Concentra downtown, City Urgent Care, Vernor Urgent Care and Woodland Urgent Care. Reasons and what a
#   person should check are in the research note under "Needs a person with a browser".
# - Specialty Urgent Care's own page prints two different sets of hours, so its line says "call first" on purpose.
# - The two Hamtramck clinics print no hours anywhere on their sites, so both say "call first".
Emergency room | Henry Ford Health | health.er | Open all day and night for a bad injury or illness. If someone could die, call 911 first. | 2799 W Grand Blvd | Detroit | 48202 | 313-916-1545 | https://www.henryford.com/ | Open 24 hours, 7 days a week | | https://www.henryford.com/locations/henry-ford-hospital | phone_label=Emergency; phone2=313-916-2600; phone2_label=Hospital main line
Emergency room at St. John | Henry Ford Health | health.er | Open all day and night for a bad injury or illness. If someone could die, call 911 first. | 22101 Moross Rd | Detroit | 48236 | 313-343-4000 | https://www.henryford.com/ | Open 24 hours, 7 days a week | | https://www.henryford.com/locations/st-john-hospital | phone_label=Hospital main line
Children's emergency room at St. John | Henry Ford Health | health.er | An emergency room just for babies, kids and teens. Open all day and night. If a child could die, call 911 first. | 22101 Moross Rd | Detroit | 48236 | 313-343-4000 | https://www.henryford.com/ | Open 24 hours, 7 days a week | Babies, children and teens. | https://www.henryford.com/locations/st-john-childrens-hospital | phone_label=Hospital main line
Emergency room at Fairlane | Henry Ford Health | health.er | Open all day and night for a bad injury or illness. If someone could die, call 911 first. | 19401 Hubbard Dr | Dearborn | 48126 | 313-982-8261 | https://www.henryford.com/ | Open 24 hours, 7 days a week | | https://www.henryford.com/locations/fairlane | phone_label=Emergency; phone2=313-982-8100; phone2_label=Main line
Emergency room | Corewell Health Dearborn Hospital | health.er | Open all day and night for a bad injury or illness. If someone could die, call 911 first. | 18101 Oakwood Blvd. | Dearborn | 48124 | 313-593-7440 | https://corewellhealth.org/ | Open 24 hours | | https://corewellhealth.org/locations/LOC0000193638/corewell-health-dearborn-hospital-emergency | phone_label=Main line
Same-Day Care on Ford Road | Henry Ford Health | health.urgent | Walk in for a small illness or injury that will not wait for a regular visit. | 5500 Auto Club Dr | Dearborn | 48126 | 313-425-4500 | https://www.henryford.com/ | Mon-Tue 8am-6pm; Wed-Fri 7am-5pm | | https://www.henryford.com/locations/ford-road/walk-in-clinic | phone_label=Same-Day Care; flags=walk_in
Urgent Care in Dearborn | Corewell Health | health.urgent | Care for a small illness or injury that will not wait for a regular visit. | 23100 Michigan Ave. | Dearborn | 48124 | 313-263-7584 | https://corewellhealth.org/ | Daily 8am-8pm | | https://corewellhealth.org/locations/LOC0000193752/corewell-health-urgent-care-dearborn | phone_label=Main line
Get Well Urgent Care, Grand River | Get Well Urgent Care | health.urgent | Walk in for a small illness or injury. They do X-rays, lab tests and physicals here. | 19335 Grand River Ave | Detroit | 48223 | 313-955-0000 | https://getwellurgent.com/ | Mon-Fri 8am-7pm; Sat-Sun 8am-5pm | | https://getwellurgent.com/locations/detroit/ | phone_label=Clinic; flags=walk_in
Get Well Urgent Care, West Warren | Get Well Urgent Care | health.urgent | Walk in for a small illness or injury. They do X-rays, lab tests and physicals here. | 13244 W Warren Ave | Dearborn | 48126 | 313-380-1200 | https://getwellurgent.com/ | Mon-Fri 8am-midnight; Sat-Sun 8am-9pm | | https://getwellurgent.com/locations/dearborn/ | phone_label=Clinic; flags=walk_in
1st Choice Urgent Care, Dearborn East | 1st Choice Urgent Care | health.urgent | Walk in day or night for a small illness or injury. First come, first served. The page says they keep fees low for people with no insurance. | 12841 Ford Road | Dearborn | 48126 | 313-710-4199 | https://firstchoiceucc.com/ | Open 24 hours | Takes Medicare, Medicaid and most insurance. | https://firstchoiceucc.com/urgent-care-dearborn-michigan-east/ | phone_label=Clinic; flags=walk_in,medicaid
1st Choice Urgent Care, Dearborn West | 1st Choice Urgent Care | health.urgent | Walk in for a small illness or injury. First come, first served. The page says they keep fees low for people with no insurance. | 23455 Michigan Avenue | Dearborn | 48124 | 313-438-6094 | https://firstchoiceucc.com/ | Daily 9am-9pm | Takes Medicare, Medicaid and most insurance. | https://firstchoiceucc.com/urgent-care-dearborn-michigan-west/ | phone_label=Clinic; flags=walk_in,medicaid; notice=On holidays the page says 9am-5pm.
HMC Urgent Care | HMC Urgent Care | health.urgent | Walk in for a small illness or injury. They have a lab and X-ray. The page says "No insurance? No problem - we still see you." | 7542 Wyoming Ave | Dearborn | 48126 | 313-415-1515 | https://www.hmcurgentcare.com/ | Mon-Fri 9am-11pm; Sat-Sun 11am-11pm | | https://www.hmcurgentcare.com/ | phone_label=Clinic; flags=walk_in
West Dearborn Urgent Care | West Dearborn Urgent Care | health.urgent | Walk in for a small illness or injury. No appointment needed. The page says they have prices for people paying on their own. | 2421 Monroe St, Ste 102 | Dearborn | 48124 | 313-447-0888 | https://wdearbornuc.com/ | Mon-Sun 10am-8pm | | https://wdearbornuc.com/ | phone_label=Clinic; flags=walk_in
Community Urgent Care | Community Urgent Care | health.urgent | Walk in for a small illness or injury, or call for a time to come in. | 1816 Grindley Park Street | Dearborn | 48124 | 313-792-1200 | https://cuc-dearborn.com/ | Daily 7am-10pm | | https://cuc-dearborn.com/hours-locationhours-location-3/hours-location/ | phone_label=Clinic; flags=walk_in; notice=On big holidays the page says 10am-4pm. Closed Thanksgiving and Christmas.
Specialty Urgent Care, Dearborn | Specialty Urgent Care | health.urgent | Walk in for a small illness or injury. No appointment needed. X-rays and lab tests are done here; the page says testing starts at $80. | 13530 Michigan Ave, Suite 120 | Dearborn | 48126 | 313-582-0100 | https://urgentcare-mi.com/ | The page prints two different sets of hours: Monday - Saturday 9:00 AM - 6:00 PM, closed Sundays; and Monday through Sunday 8:00 am - 8:00 pm | Takes Medicare, Medicaid and most insurance. Spanish speakers are there. | https://urgentcare-mi.com/urgent-care-dearborn-michigan/ | phone_label=Clinic; flags=walk_in,medicaid,spanish
The Family Doc Clinic and Urgent Care, Hamtramck | The Family Doc | health.urgent | Walk in for a small illness or injury, or make a visit. They are also a regular doctor's office. | 9800 Conant Suite A | Hamtramck | 48212 | 313-424-4449 | https://thefamilydocmi.com/ | not stated | | https://thefamilydocmi.com/urgent-and-primary-care-in-hamtramck/ | phone_label=Clinic; flags=walk_in
Hamtramck Medical Urgent Care | Hamtramck Medical Urgent Care | health.urgent | Walk in for a small illness or injury. No appointment needed. They have a lab, EKG and X-ray. | 9740 Conant St | Hamtramck | 48212 | 313-265-3140 | https://hamtramckmedicalurgentcare.com/ | not stated | | https://hamtramckmedicalurgentcare.com/ | phone_label=Clinic; flags=walk_in
