# Free help in City Council District 3, the northeast side (Osborn, Regent Park, Nolan, Conant Gardens, Pulaski, Von Steuben, Penrose and nearby; ZIPs 48205, 48234, 48212, 48203).
# Each was read on the organization's own site on 2026-09-19.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url
Free hot meals at the cafe | Deo Gratias Ministries Detroit | food.meal | A free hot meal at 11:15am on weekdays. Free snacks, baked goods, and drinks while the cafe is open. | 15879 E Seven Mile Rd | Detroit | 48205 | 313-743-0477 | https://www.dgmdetroit.org/ | Mon-Fri 10am-2pm | | https://www.dgmdetroit.org/services-9
Food pantry by appointment | Deo Gratias Ministries Detroit | food.pantry | Free groceries. You need to call and make an appointment first. | 15879 E Seven Mile Rd | Detroit | 48205 | 313-743-0477 | https://www.dgmdetroit.org/ | By appointment, Tue and Fri 10am-2pm | For people who live in ZIP codes 48205, 48224, 48225, 48234, or 48236. | https://www.dgmdetroit.org/services-9
Food pantry and clothing closet | Matrix Human Services | food.pantry | An emergency food pantry, a food give-away on Tuesdays, and a free clothing closet at the Matrix Center. | 13560 E McNichols Rd | Detroit | 48205 | 313-526-4000 | https://www.matrixhumanservices.org/ | Food give-away on Tuesdays. Their site gives no time. Call first. | | https://www.matrixhumanservices.org/the-matrix-center/
Youth programs at the Matrix Center | Matrix Human Services | youth | After-school programs, summer day camps, and basketball and boxing for kids and teens. | 13560 E McNichols Rd | Detroit | 48205 | 313-526-4000 | https://www.matrixhumanservices.org/ | not stated | | https://www.matrixhumanservices.org/the-matrix-center/
Exodus Food Pantry | Exodus Food Pantry | food.pantry | Drive up and get free groceries and fresh produce. | 8173 Kenney St | Detroit | 48234 | 313-254-3038 | https://exoduspantry.com/ | Every first Saturday of the month 9am-11am | Bring a Michigan ID or driver's license. Know how many adults and children live in your home. | https://exoduspantry.com/
Parish food pantry | St. Raymond-Our Lady of Good Counsel Parish | food.pantry | Free food on Tuesday mornings in the Community Center. They also have medical equipment, kids' books, and thrift store items. | 20055 Joann | Detroit | 48205 | 313-527-0525 | https://straymondolgc.org/ | Tue 9:30am-11am | Their site says food goes to families in the parish. Call to ask. | https://straymondolgc.org/
Community Care Center | Perfecting Community Development Corporation | food.pantry | Free food, clothes, and other basic needs. | 7100 E Davison St | Detroit | 48212 | 313-365-2273 | https://perfectingcdc.org/ | not stated | For people with low income. | https://perfectingcdc.org/programs-and-services/
Food for the Soul food program | Pilgrim Baptist Church | food.pantry | Free food each week. | 18474 Binder St | Detroit | 48234 | 313-893-1386 | https://www.pilgrimbaptist-detroit.com/ | Weekly. Their site does not give the day or time. Call first. | | https://www.pilgrimbaptist-detroit.com/contact.htm
Nolan Family Medical Center | Detroit Community Health Connection | health.clinic | See a doctor. The dentist is across the street at 62 W Seven Mile Rd. | 111 W Seven Mile Rd | Detroit | 48203 | 313-369-2600 | https://www.dchcquality.org/ | Mon-Wed 8:30am-5pm; Thu 9:30am-6pm; Fri 8:30am-5pm | | https://www.dchcquality.org/nolan-health-center
East Medical Center | The Wellness Plan Medical Centers | health.clinic | See a doctor or a dentist. There is a pharmacy and WIC here too. If you have no insurance, you pay based on your income. | 4909 E Outer Dr | Detroit | 48234 | 313-366-2000 | https://wellplan.com/ | Mon-Fri 8:30am-5pm | Care no matter what you can pay. | https://wellplan.com/contact-locations/
SAY Detroit Play Center | SAY Detroit | youth | A free after-school program with tutoring, sports, and arts. Meals and rides are free too. | 19320 Van Dyke Ave | Detroit | 48234 | 313-305-4728 | https://www.sayplay.org/ | not stated | For ages 8 to 18. You need to sign up. | https://www.sayplay.org/about/
Osborn family hub | Brilliant Detroit | youth | A neighborhood house for families with young kids. Free programs, plus free diapers, clothes, food, and books. | 13800 Eastburn St | Detroit | 48205 | 313-332-1069 | https://brilliantcities.org/ | not stated | For families with children up to age 8. Everything is free. | https://brilliantcities.org/detroit/
After-school programs in Regent Park | LifeBUILDERS Detroit | youth | After-school programs for grades 1 to 12, plus sports and a summer day camp. | 20141 Kelly Rd | Detroit | 48225 | 313-401-5433 | https://www.lifebuildersdetroit.com/ | Program times are not stated. The office is open Mon-Fri 9am-4:30pm. Call to sign up. | Their site does not say if there is a cost. Call to ask. | https://www.lifebuildersdetroit.com/programs
