# Free food in City Council Districts 5 and 6, plus far-from-food pockets in Districts 1 and 3.
# Each was read on the organization's own site on 2026-09-19 (WebFetch, or plain requests that say who we are).
# Web search was used only to find the sites; no fact comes from a search snippet, a directory, or another group's page.
# Notes:
# - Most Holy Trinity: the page says the pantry "generally" runs Thursdays 11 a.m. to 1 p.m.; entered as written.
# - All Saints (Catholic Charities of Southeast Michigan): the program page (source_url) says it moved to 6945 Wagner
#   and lists pantry days Mon, Thu and Fri; CCSEM's "basic needs" page lists only Mon and Thu. The older All Saints
#   blog (asskdetroit.wordpress.com, 7824 W. Fort St) is out of date and was not used. The pantry is by appointment,
#   so it arrives call-first with the days as written.
# - Mercy Food Pantry: the Center for the Works of Mercy page gives the center's hours (Mon-Fri 9-3) and says the pantry
#   is by appointment; call-first. (CCSEM's basic-needs page mentions Thursday drop-in hours from Nov 2025; not used.)
# - St. Stephen Pantry: Loaves and Fishes' own pantry-locations page, like the Ste. Anne row; that page gives no phone.
# - Perry Outreach Center: address, phone and "food boxes" are on perryoutreach.org; the 48217 service area is in
#   their own info sheet (perryoutreach.org/wp-content/uploads/2024/11/Perry-Info-Sheet.pdf). Loaves and Fishes'
#   page gives Perry's hours (Mon-Thu 10-2), but that is another group's page, so the row is call-first.
# - Forgotten Harvest mobile pantries: their find-food page lists each truck stop two weeks at a time, with dates.
#   It does not say how often each stop repeats, so these are call-first ("some Fridays"), except Historic Little Rock,
#   whose own outreach page (historiclittlerockbc.org/outreach) says "2nd & 4th Fridays"; a MONTHLY schedule
#   (2FR,4FR 09:00-12:00, time from Forgotten Harvest's page) was added by hand. Equity Alliance's time on the page
#   reads "2:00 AM - 4:00 AM", which is surely a typo, so no time is given.
# - St. John's Presbyterian: the hunger-ministry page says a hot meal is served every week but gives no days.
# - Cass Community Social Services: "700,000 meals a year" is on casscommunity.org/services/food-services/; the
#   address and phone are on the locations page (source_url). No meal or pantry times are on their site.
# - Detroit Area Agency on Aging meal sites: the congregate-meal page gives each site's address and phone and says
#   meals are Mon-Fri for people 60 and older and their spouses; no times. Several are senior apartment buildings.
#   The list is headed "2024 Congregate Meal Sites" and says some sites have not reopened since COVID, so each row
#   says so and is call-first. Parkview Place (1401 Chene) was left out: its phone on the page is missing a digit
#   ("(313) 567-799"). Farwell and Franklin Wright are outside this batch's area or already listed.
# - Corpus Christi (St. Vincent de Paul): WebFetch got a 403, but a plain request that names us read the page.
# - God's Storehouse: the site draws its text with scripts; it was read in the built-in browser. Held for a person
#   (docs/CHECKS-2026-09-19.md, section 5). Its phone (313-867-1234) is what the site shows.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url
Food pantry | Most Holy Trinity Parish | food.pantry | Free shelf food, like cans, pasta, peanut butter, rice, and beans. | 1050 Porter St | Detroit | 48226 | 313-965-4450 | https://mhtdetroit.org/ | Thu 11am-1pm | Please come no more than every other Thursday. | https://mhtdetroit.org/outreach/food-pantry/
All Saints Soup Kitchen | Catholic Charities of Southeast Michigan | food.meal | A free hot lunch. No appointment, ID, or proof of address needed. | 6945 Wagner St | Detroit | 48210 | 855-882-2736 ext. 3321 | https://www.ccsem.org/ | Wed noon-1:30pm | Anyone can come. | https://www.ccsem.org/all-saints-soup-kitchen-food-pantry
All Saints Food Pantry | Catholic Charities of Southeast Michigan | food.pantry | Free groceries, including cold and frozen food. You need an appointment. New visitors call to set one up. | 6945 Wagner St | Detroit | 48210 | 855-882-2736 ext. 3321 | https://www.ccsem.org/ | Mon, Thu, Fri 1pm-3pm, by appointment | For people with low income who live in ZIP codes 48209 or 48210. Bring ID. You can come once every 30 days, up to 6 times a year. | https://www.ccsem.org/all-saints-soup-kitchen-food-pantry
Mercy Food Pantry | Catholic Charities of Southeast Michigan | food.pantry | Free groceries at the Center for the Works of Mercy. Call to make an appointment. | 10301 Woodward Ave | Detroit | 48202 | 313-335-3261 | https://www.ccsem.org/ | By appointment. The center is open Mon-Fri 9am-3pm. | | https://www.ccsem.org/CWM
St. Stephen Pantry | Loaves and Fishes Southwest Detroit | food.pantry | Free groceries at Our Lady of Guadalupe church. It may not open in bad weather. | 4330 Central St | Detroit | 48210 | | https://loavesandfishesswdetroit.org/ | Sat 9am-11am | For people who live in ZIP code 48210, and parish members. | https://loavesandfishesswdetroit.org/pantry-locations/
Food boxes | Perry Outreach Center | food.pantry | Free food boxes with cans, frozen meat, fresh vegetables, and dairy. Call to ask when to come. | 12047 Miami St | Detroit | 48217 | 313-749-7324 | https://perryoutreach.org/ | not stated | Their main area is ZIP code 48217. They also help people from River Rouge, Ecorse, Lincoln Park, and Melvindale. | https://perryoutreach.org/
Good Samaritan food pantry | Metropolitan United Methodist Church | food.pantry | Free food. Get in line before 11am. It ends when the food runs out. | 8000 Woodward Ave | Detroit | 48202 | 313-875-7407 | https://www.metroumcdetroit.org/ | Wed noon-2pm | | https://www.metroumcdetroit.org/goodsam
Mobile food pantry at Historic Little Rock church | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck at Historic Little Rock Missionary Baptist Church. It ends when the food runs out. | 9000 Woodward Ave | Detroit | 48202 | 248-268-7756 | https://www.forgottenharvest.org/ | 2nd and 4th Friday of the month 9am-noon | | https://www.forgottenharvest.org/find-food/
Mobile food pantry at New Bethel Baptist Church | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 8430 Linwood St | Detroit | 48206 | 248-268-7756 | https://www.forgottenharvest.org/ | Some Tuesdays 9am-noon. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/
Mobile food pantry at Triumph Church | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 2760 E Grand Blvd | Detroit | 48211 | 248-268-7756 | https://www.forgottenharvest.org/ | Some Fridays 9am-noon. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/
Mobile food pantry at Alternatives For Girls | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 903 West Grand Blvd | Detroit | 48208 | 248-268-7756 | https://www.forgottenharvest.org/ | Some Thursdays 9am-11am. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/
